time,route3,route1,route8,route5,route4,route6,route2,route7
1,0.045063623,0.119858874,-0.101337572,-0.874156026,0.684176406,-0.56060334,-0.02629482,0.238552109
2,0.011034395,0.148121436,-0.033799641,-0.845526955,0.520609628,-0.455158591,-0.068246162,0.219737788
3,-0.016119046,0.171028099,0.023450541,-0.809624166,0.381249479,-0.364599261,-0.103896207,0.203930199
4,-0.037025569,0.189043889,0.071228763,-0.767467325,0.264199357,-0.287877957,-0.133704797,0.190891664
5,-0.052313125,0.202633019,0.110348947,-0.720076539,0.167567166,-0.223950544,-0.158130464,0.180385062
6,-0.062609271,0.212259273,0.14162381,-0.668473216,0.089463748,-0.171775293,-0.177630804,0.172173634
7,-0.068541693,0.218386399,0.16586555,-0.613680937,0.028001325,-0.130312022,-0.192662864,0.166020786
8,-0.070738743,0.221478495,0.183886518,-0.556726339,-0.018708103,-0.098521227,-0.203683513,0.161689882
9,-0.069829975,0.222000414,0.196499921,-0.498640016,-0.052554345,-0.075363212,-0.211149831,0.15894406
10,-0.066446694,0.220418158,0.204520513,-0.440457442,-0.075430654,-0.059797203,-0.215519497,0.157546011
11,-0.061222519,0.2171993,0.208765317,-0.383219913,-0.089235389,-0.050780446,-0.217251191,0.157257783
12,-0.054793952,0.212813398,0.210054348,-0.327975512,-0.095873693,-0.047267293,-0.216804988,0.157840564
13,-0.047800966,0.207732428,0.209211361,-0.275780109,-0.097259231,-0.048208264,-0.214642781,0.159054468
14,-0.040887606,0.202431227,0.207064615,-0.227698384,-0.095315959,-0.05254909,-0.211228698,0.160658311
15,-0.034702615,0.197387947,0.204447659,-0.184804884,-0.091979947,-0.059229726,-0.20702954,0.162409382
16,-0.029900063,0.193084524,0.20220014,-0.148185123,-0.089201252,-0.067183346,-0.202515222,0.16406321
17,-0.027140017,0.190007165,0.201168638,-0.118936717,-0.088945852,-0.075335291,-0.198159242,0.165373322
18,-0.027089223,0.188646845,0.202207532,-0.09817056,-0.093183314,-0.082601998,-0.194439152,0.166090989
19,-0.030181809,0.189428784,0.205962288,-0.086953403,-0.102023503,-0.08795587,-0.191678135,0.165983681
20,-0.034921544,0.191648391,0.211602226,-0.085179089,-0.111842511,-0.090640802,-0.189470674,0.16519542
21,-0.038862655,0.193682268,0.217670387,-0.091639492,-0.118540582,-0.089967246,-0.187196893,0.164224278
22,-0.039531958,0.193864878,0.222697641,-0.105077094,-0.118740285,-0.085295922,-0.184242856,0.163586632
23,-0.035767972,0.190989927,0.225766247,-0.123998152,-0.11366809,-0.077570324,-0.180387968,0.163670171
24,-0.029744243,0.186621619,0.227085875,-0.145170677,-0.106303026,-0.069477332,-0.175889756,0.163847539
25,-0.024172656,0.183347982,0.227003548,-0.164535473,-0.099581093,-0.063821371,-0.171036731,0.1630162
26,-0.021672849,0.183783874,0.225898177,-0.177980966,-0.094529675,-0.062695804,-0.165982303,0.160057789
27,-0.022581759,0.188772286,0.224505112,-0.183311717,-0.090160393,-0.064823632,-0.160148365,0.154520891
28,-0.025189347,0.194751825,0.223805911,-0.184973467,-0.085378044,-0.067945492,-0.15270682,0.148257072
29,-0.027693434,0.197452404,0.224799634,-0.188879897,-0.079375448,-0.069808711,-0.142844757,0.143630456
30,-0.028731202,0.19270597,0.227995606,-0.20096265,-0.07222081,-0.069199914,-0.130900717,0.143011287
31,-0.029188382,0.180805177,0.232245552,-0.223064667,-0.064144259,-0.066121683,-0.118798083,0.147035562
32,-0.030655783,0.167073731,0.236041672,-0.250341257,-0.055442086,-0.060643405,-0.108600654,0.15350355
33,-0.034725702,0.157175901,0.237905582,-0.277271537,-0.047013707,-0.053075375,-0.101976837,0.159926966
34,-0.041500629,0.156171004,0.237672222,-0.298385433,-0.040102397,-0.044905971,-0.098008401,0.163891514
35,-0.048648883,0.16319078,0.236593752,-0.310292681,-0.035955143,-0.038003627,-0.094775341,0.16473549
36,-0.053580825,0.17427229,0.236010876,-0.311287321,-0.034734062,-0.034214604,-0.090357721,0.163226158
37,-0.053923505,0.185363501,0.237019401,-0.299676701,-0.034949065,-0.033607882,-0.084717524,0.160182865
38,-0.049900411,0.193233048,0.239240735,-0.274634969,-0.034949443,-0.034046455,-0.080759563,0.156444622
39,-0.04326769,0.197719899,0.241771997,-0.241063576,-0.033392398,-0.033221898,-0.081691864,0.15290576
40,-0.035830524,0.199344839,0.243703351,-0.20620251,-0.030397418,-0.029339058,-0.090026513,0.150493211
41,-0.029079131,0.198639407,0.244857063,-0.177430749,-0.026495176,-0.02345836,-0.102958793,0.150151585
