time,route1,route3,route4,route2,route7,route8,route6,route5
1,-0.770247589,-0.025210046,-0.230534425,0.09849187,0.139124107,0.20360376,0.018959972,-0.00925672
2,-0.599193087,-0.031987856,-0.167771897,0.082529742,0.156132546,0.194583768,0.058458095,0.002134898
3,-0.466105837,-0.0395474,-0.11449241,0.070515691,0.169872086,0.187339807,0.09152318,0.012659589
4,-0.366727595,-0.04772866,-0.069785978,0.061966669,0.180702831,0.181673319,0.118823991,0.022340821
5,-0.297053702,-0.056379434,-0.032798429,0.05642834,0.188963661,0.177397923,0.140989218,0.031200134
6,-0.253308029,-0.0653542,-0.002726389,0.053472208,0.194974353,0.174338292,0.158611263,0.039257158
7,-0.231918917,-0.074513034,0.021187542,0.052692867,0.199037612,0.172329066,0.172249889,0.046529626
8,-0.229496167,-0.083720597,0.039659435,0.053705366,0.201441007,0.171213807,0.182435712,0.053033406
9,-0.242809124,-0.092845188,0.05336847,0.05614269,0.202458812,0.170844006,0.189673532,0.058782519
10,-0.268765848,-0.101757836,0.06296116,0.059653384,0.202353756,0.171078127,0.194445504,0.06378918
11,-0.304393378,-0.110331474,0.069055383,0.063899286,0.201378687,0.171780706,0.197214147,0.068063826
12,-0.346819077,-0.11844015,0.072244189,0.068553393,0.199778139,0.172821495,0.198425204,0.071615152
13,-0.393253027,-0.1259583,0.073099419,0.073297848,0.197789819,0.17407466,0.198510333,0.074450158
14,-0.4407354,-0.132688999,0.072136484,0.077780382,0.195541274,0.175324114,0.19778373,0.07653319
15,-0.486339066,-0.138444793,0.069872542,0.081659288,0.19319269,0.176383396,0.196585304,0.077836965
16,-0.527804992,-0.143217429,0.066906141,0.084704015,0.191149891,0.177296022,0.195501401,0.078435135
17,-0.562552008,-0.146882145,0.063757217,0.086620903,0.189634845,0.177948627,0.194929813,0.078331687
18,-0.58802261,-0.149312255,0.060936743,0.087118609,0.188867668,0.178229497,0.195263386,0.077529038
19,-0.601669881,-0.150233368,0.058918453,0.086019185,0.189034406,0.178036747,0.196789964,0.076128956
20,-0.601877572,-0.148299017,0.05804104,0.084046534,0.189792079,0.177445852,0.199105005,0.074861751
21,-0.590554311,-0.141690218,0.058608188,0.082349196,0.19037963,0.176694706,0.201523484,0.074693932
22,-0.570400135,-0.12860012,0.060898034,0.082067346,0.190031122,0.176025132,0.203368466,0.076577787
23,-0.544069136,-0.10961727,0.064458545,0.083719987,0.188204155,0.175615919,0.204228182,0.080597392
