time,route1,route4,route7,route3,route5,route8,route2,route6
1,0.441045551,0.466907297,0.385041743,0.619481748,-0.097857587,-0.097857587,0.656304492,-0.33843304
2,0.399117305,0.448194767,0.345570385,0.430381452,-0.114903126,-0.114903126,0.550776968,-0.268849398
3,0.362620647,0.433078389,0.311365905,0.264702817,-0.133124798,-0.133124798,0.455616562,-0.206807144
4,0.331398245,0.421391767,0.28223006,0.121610702,-0.152335224,-0.152335224,0.370615304,-0.15210416
5,0.305266585,0.41294642,0.257935387,0.000139188,-0.172327034,-0.172327034,0.295524354,-0.104503509
6,0.284011953,0.407529336,0.23822132,-0.100826198,-0.192872479,-0.192872479,0.230045779,-0.063727525
7,0.26738689,0.404900918,0.22279084,-0.182563897,-0.213723356,-0.213723356,0.173825105,-0.02945253
8,0.255107182,0.404793339,0.211307715,-0.246529081,-0.234611235,-0.234611235,0.126444797,-0.001304317
9,0.246849443,0.406909345,0.203394361,-0.29436355,-0.255247981,-0.255247981,0.087418792,0.021145542
10,0.242249333,0.410921538,0.198630396,-0.327902548,-0.275326603,-0.275326603,0.056188155,0.038382499
11,0.240900438,0.41647214,0.196551877,-0.349178434,-0.294522376,-0.294522376,0.032117941,0.050950892
12,0.242353842,0.423173267,0.196651265,-0.36042111,-0.312494262,-0.312494262,0.014495314,0.059454848
13,0.24611837,0.430607662,0.19837809,-0.364055243,-0.328886582,-0.328886582,0.002528907,0.064558204
14,0.25166152,0.438329949,0.201140334,-0.36269429,-0.343330947,-0.343330947,-0.004650528,0.066983479
15,0.258411059,0.44586833,0.20430648,-0.359131461,-0.355448413,-0.355448413,-0.007988227,0.067509872
16,0.265757264,0.452726728,0.207208234,-0.356327713,-0.364851836,-0.364851836,-0.008502316,0.06697038
17,0.27305577,0.458387373,0.209143851,-0.357396965,-0.371148414,-0.371148414,-0.007279544,0.066248014
18,0.279630991,0.462313754,0.209382048,-0.365570295,-0.373942384,-0.373942384,-0.005469912,0.066271219
19,0.28492533,0.46395393,0.207397319,-0.381756051,-0.373235108,-0.373235108,-0.004239275,0.067960466
20,0.289038088,0.462795106,0.204238569,-0.401978603,-0.370756476,-0.370756476,-0.004141301,0.071287395
21,0.292274652,0.459488607,0.201670178,-0.421498659,-0.368775925,-0.368775925,-0.005211754,0.075295101
22,0.294891232,0.455823418,0.201483776,-0.435917196,-0.369532261,-0.369532261,-0.007465095,0.078939973
23,0.296576621,0.453804127,0.204570602,-0.444358668,-0.373902989,-0.373902989,-0.010857642,0.081389093
24,0.296265071,0.455513348,0.209849639,-0.447334453,-0.381161032,-0.381161032,-0.015032166,0.083537395
25,0.292783171,0.461511109,0.215931894,-0.445392999,-0.390409467,-0.390409467,-0.019505578,0.087095777
26,0.285328287,0.469457388,0.221441356,-0.440506973,-0.400683157,-0.400683157,-0.02378081,0.093814946
27,0.275140162,0.476623528,0.225589749,-0.436155455,-0.410821966,-0.410821966,-0.027169727,0.104273467
28,0.264168068,0.480234733,0.227994102,-0.435945457,-0.419596715,-0.419596715,-0.028531944,0.114991328
29,0.254362888,0.478416776,0.228281461,-0.441975035,-0.425809881,-0.425809881,-0.026651382,0.121576888
30,0.246306574,0.472965846,0.226354678,-0.451814227,-0.429600614,-0.429600614,-0.020387859,0.119656674
31,0.238696905,0.466618746,0.223018523,-0.462169514,-0.432662464,-0.432662464,-0.010783764,0.10850493
32,0.230086578,0.462135829,0.219273341,-0.469804667,-0.436789257,-0.436789257,-0.001315047,0.093292179
33,0.219477834,0.461953707,0.21610769,-0.472255798,-0.442979245,-0.442979245,0.004402941,0.079755453
34,0.208566162,0.46554207,0.21399625,-0.467339077,-0.448206429,-0.448206429,0.003276114,0.073298988
35,0.200227972,0.471242612,0.213085941,-0.453297215,-0.448577252,-0.448577252,-0.00332992,0.074403039
36,0.197211578,0.477248176,0.213430711,-0.43236997,-0.440244118,-0.440244118,-0.011780163,0.07954254
37,0.200079597,0.481810244,0.215028822,-0.412889986,-0.42408935,-0.42408935,-0.018441413,0.085092904
38,0.206095299,0.484204652,0.217591398,-0.403596777,-0.406667512,-0.406667512,-0.020814093,0.088012973
39,0.212269336,0.484705,0.220733108,-0.410135397,-0.39479741,-0.39479741,-0.020245118,0.088768427
40,0.216104798,0.483629727,0.224077677,-0.425119756,-0.393503564,-0.393503564,-0.018898777,0.089169746
