time,Fx,Tx,Fy
1,-31.309,-0.450662,-9.40111
2,-31.2989,-0.449662,-9.38129
3,-31.2887,-0.447861,-9.3456
4,-31.2792,-0.445179,-9.29247
5,-31.2701,-0.441717,-9.22385
6,-31.2607,-0.437675,-9.14371
7,-31.2511,-0.433213,-9.05524
8,-31.242,-0.428415,-8.96004
9,-31.234,-0.423333,-8.85917
10,-31.227,-0.418049,-8.75423
11,-31.2204,-0.412646,-8.64689
12,-31.2138,-0.40712,-8.53699
13,-31.2082,-0.401311,-8.42138
14,-31.2054,-0.394982,-8.29531
15,-31.2078,-0.387928,-8.15468
16,-31.2181,-0.380039,-7.99729
17,-31.2371,-0.371381,-7.82444
18,-31.2636,-0.362252,-7.64209
19,-31.2961,-0.353061,-7.45838
20,-31.3341,-0.344125,-7.27965
21,-31.378,-0.335636,-7.10974
22,-31.4281,-0.327733,-6.95144
23,-31.4842,-0.320486,-6.80619
24,-31.5462,-0.313834,-6.67277
25,-31.6147,-0.307628,-6.54823
26,-31.6904,-0.301777,-6.43074
27,-31.7741,-0.296322,-6.32114
28,-31.8669,-0.291398,-6.22221
29,-31.9691,-0.287216,-6.13816
30,-32.0804,-0.284074,-6.07501
31,-32.1995,-0.282347,-6.04032
32,-32.3233,-0.28242,-6.0418
33,-32.447,-0.284621,-6.08603
34,-32.5642,-0.289182,-6.17764
35,-32.6691,-0.296188,-6.31835
36,-32.7584,-0.305467,-6.50464
37,-32.8337,-0.316509,-6.72621
38,-32.9005,-0.328603,-6.96877
39,-32.9662,-0.341147,-7.22016
40,-33.0369,-0.353884,-7.47518
41,-33.116,-0.366941,-7.73631
42,-33.2034,-0.380663,-8.01035
43,-33.2963,-0.395405,-8.30434
44,-33.3898,-0.411418,-8.62318
45,-33.4791,-0.428817,-8.96908
46,-33.5595,-0.44757,-9.34124
47,-33.6264,-0.467564,-9.73719
48,-33.6746,-0.488804,-10.1567
49,-33.6976,-0.511612,-10.6059
50,-33.6876,-0.536539,-11.0949
51,-33.6378,-0.564029,-11.632
52,-33.5422,-0.594222,-12.2192
53,-33.3947,-0.627067,-12.8548
54,-33.1891,-0.662511,-13.5369
55,-32.9201,-0.700493,-14.2634
56,-32.5866,-0.740714,-15.0279
57,-32.1929,-0.782554,-15.8178
58,-31.7485,-0.825306,-16.619
59,-31.2645,-0.868438,-17.4209
60,-30.7515,-0.911597,-18.2166
61,-30.2181,-0.954473,-19.0002
62,-29.6732,-0.996724,-19.7654
63,-29.129,-1.03797,-20.5056
64,-28.5993,-1.07789,-21.2153
65,-28.0961,-1.11631,-21.8921
66,-27.6256,-1.1531,-22.534
67,-27.1868,-1.18809,-23.1388
