time,route1,route2,route3,route4,route5,route6,route7,route8
1,-4.8801,-5.7543,-5.1073,-4.7748,-5.426,-5.9291,-5.0794,-4.9512
2,-4.8801,-5.7543,-5.1073,-4.7748,-5.426,-5.9291,-5.0794,-4.9512
3,-4.8581,-5.3633,-4.7387,-4.3979,-4.8153,-5.49,-5.0713,-4.4488
4,-4.8581,-5.3633,-4.7387,-4.3979,-4.8153,-5.49,-5.0713,-4.4488
5,-4.8581,-5.3633,-4.7387,-4.3979,-4.8153,-5.49,-5.0713,-4.4488
6,-4.8561,-5.4612,-4.7387,-4.32,-5.2697,-5.3538,-4.6317,-4.6462
7,-4.8561,-5.4612,-4.6327,-4.32,-5.2697,-5.3538,-4.6317,-4.6462
8,-4.8561,-5.4612,-4.6327,-4.32,-5.2697,-5.3538,-4.6317,-4.6462
9,-4.438,-5.0499,-4.6327,-4.2916,-5.2697,-5.0477,-4.7714,-4.6462
10,-4.438,-5.0499,-5.0225,-4.2916,-5.2983,-5.0477,-4.7714,-4.5036
11,-4.438,-5.0499,-5.0225,-4.2916,-5.2983,-5.0477,-4.7714,-4.5036
12,-4.438,-5.0499,-5.0225,-4.6072,-5.2983,-5.1798,-4.7478,-4.5036
13,-4.6702,-4.9747,-5.0225,-4.6072,-5.091,-5.1798,-4.7478,-4.3982
14,-4.6702,-4.9747,-5.0718,-4.6072,-5.091,-5.1798,-4.7478,-4.3982
15,-4.6702,-4.9747,-5.0718,-3.951,-5.091,-4.7406,-4.7478,-4.3982
16,-4.6411,-5.3924,-5.0718,-3.951,-4.9111,-4.7406,-4.7321,-4.6947
17,-4.6411,-5.3924,-4.9376,-3.951,-4.9111,-4.7406,-4.7321,-4.6947
18,-4.6411,-5.3924,-4.9376,-4.6466,-4.9111,-5.1989,-4.7321,-4.6947
19,-4.7274,-4.918,-4.9376,-4.6466,-5.0329,-5.1989,-4.4484,-4.6105
20,-4.7274,-4.918,-4.9376,-4.6466,-5.0329,-5.1989,-4.4484,-4.6105
21,-4.7274,-4.918,-4.9606,-4.1979,-5.0329,-5.4326,-4.4484,-4.6105
22,-4.487,-5.1146,-4.9606,-4.1979,-5.0606,-5.4326,-4.4129,-4.6105
23,-4.487,-5.1146,-4.9606,-4.1979,-5.0606,-5.4326,-4.4129,-4.8296
24,-4.487,-5.1146,-4.6271,-4.2737,-5.0606,-4.8869,-4.4129,-4.8296
25,-4.4445,-5.3975,-4.6271,-4.2737,-5.0606,-4.8869,-4.5995,-4.8296
26,-4.4445,-5.3975,-4.6271,-4.2737,-5.1553,-4.8869,-4.5995,-4.702
27,-4.4445,-5.3975,-4.6271,-4.5193,-5.1553,-4.9385,-4.5995,-4.702
28,-4.8631,-5.3975,-5.0164,-4.5193,-5.1553,-4.9385,-4.4291,-4.702
29,-4.8631,-5.2284,-5.0164,-4.5193,-5.1401,-4.9385,-4.4291,-4.3899
30,-4.8631,-5.2284,-5.0164,-3.8755,-5.1401,-4.9385,-4.4291,-4.3899
31,-4.8191,-5.2284,-4.7549,-3.8755,-5.1401,-5.2364,-4.6683,-4.3899
32,-4.8191,-5.2415,-4.7549,-4.1726,-5.3815,-5.2364,-4.6683,-4.7004
33,-4.8191,-5.2415,-4.7549,-4.1726,-5.3815,-5.2364,-4.6683,-4.7004
34,-4.8191,-5.2415,-4.7549,-4.1726,-5.3815,-5.2343,-4.4353,-4.7004
35,-4.6341,-5.2337,-4.9732,-4.0316,-4.8533,-5.2343,-4.4353,-4.8547
36,-4.6341,-5.2337,-4.9732,-4.0316,-4.8533,-5.2343,-4.4353,-4.8547
37,-4.6341,-5.2337,-4.9732,-4.0316,-4.8533,-5.085,-4.6965,-4.8547
38,-4.7893,-5.178,-5.0503,-4.2149,-4.8533,-5.085,-4.6965,-4.8547
39,-4.7893,-5.178,-5.0503,-4.2149,-5.3567,-5.085,-4.6965,-4.3369
40,-4.7893,-5.178,-5.0503,-4.2149,-5.3567,-4.9575,-4.6965,-4.3369
41,-4.5552,-4.9717,-5.0503,-4.0663,-5.3567,-4.9575,-4.9217,-4.3369
42,-4.5552,-4.9717,-5.0064,-4.0663,-5.3124,-4.9575,-4.9217,-4.5481
43,-4.56E+00,-4.9717,-5.0064,-4.0663,-5.3124,-4.81,-4.9217,-4.5481
44,-4.5743,-4.773,-5.0064,-3.8754,-5.3124,-4.81,-4.7008,-4.5481
45,-4.5743,-4.773,-5.0064,-3.8754,-5.1404,-4.81,-4.7008,-4.1651
46,-4.5743,-4.773,-4.7432,-3.8754,-5.1404,-5.1155,-4.7008,-4.1651
47,-4.602,-4.773,-4.7432,-4.3189,-5.1404,-5.1155,-4.6366,-4.1651
48,-4.602,-5.0552,-4.7432,-4.3189,-4.9971,-5.1155,-4.6366,-4.3417
49,-4.602,-5.0552,-4.7282,-4.3189,-4.9971,-4.8802,-4.6366,-4.3417
50,-4.5674,-5.0552,-4.7282,-3.7446,-4.9971,-4.8802,-4.4014,-4.3417
51,-4.5674,-5.0254,-4.7282,-3.7446,-5.2252,-4.8802,-4.4014,-4.3417
52,-4.5674,-5.0254,-4.7282,-3.7446,-5.2252,-5.0142,-4.4014,-4.6731
53,-4.5175,-5.0254,-4.4449,-4.0177,-5.2252,-5.0142,-4.1735,-4.6731
54,-4.5175,-5.0528,-4.4449,-4.0177,-5.2252,-5.0142,-4.1735,-4.6731
55,-4.5175,-5.0528,-4.4449,-4.0177,-5.1331,-5.0157,-4.1735,-4.4955
56,-4.5175,-5.0528,-4.8124,-4.2428,-5.1331,-5.0157,-4.3774,-4.4955
57,-4.3342,-4.7478,-4.8124,-4.2428,-5.1331,-5.0157,-4.3774,-4.4955
58,-4.3342,-4.7478,-4.8124,-4.2428,-4.7983,-5.2553,-4.3774,-4.5508
59,-4.3342,-4.7478,-4.8124,-4.1981,-4.7983,-5.2553,-4.4404,-4.5508
60,-4.6392,-4.9881,-4.5003,-4.1981,-4.7983,-5.2553,-4.4404,-4.5508
61,-4.6392,-4.9881,-4.5003,-4.1981,-4.7608,-5.3756,-4.4404,-4.0198
62,-4.6392,-4.9881,-4.5003,-3.7871,-4.7608,-5.3756,-4.2986,-4.0198
63,-4.3623,-4.9881,-4.4286,-3.7871,-4.7608,-5.3756,-4.2986,-4.0198
64,-4.3623,-4.8618,-4.4286,-3.7871,-5.2211,-4.8947,-4.2986,-4.0198
65,-4.3623,-4.8618,-4.4286,-3.8876,-5.2211,-4.8947,-4.2986,-4.3161
66,-4.3689,-4.8618,-4.4286,-3.8876,-5.2211,-4.8947,-4.2285,-4.3161
67,-4.3689,-4.9611,-4.7729,-3.8876,-5.2211,-5.1192,-4.2285,-4.3161
68,-4.3689,-4.9611,-4.7729,-3.839,-5.1154,-5.1192,-4.2285,-4.1525
69,-4.8009,-4.9611,-4.7729,-3.839,-5.1154,-5.1192,-4.1567,-4.1525
70,-4.8009,-4.9593,-4.7018,-3.839,-5.1154,-4.8728,-4.1567,-4.1525
71,-4.8009,-4.9593,-4.7018,-3.655,-4.8454,-4.8728,-4.1567,-4.2368
