time,route1,route2,route3,route4,route5,route6,route7,route8
1,0.8304,0.9845,1.0818,1.1089,1.066,1.2804,1.048,1.7503
2,0.8304,0.9845,1.0818,1.1089,1.066,1.2804,1.048,1.7503
3,0.834,1.1176,0.8978,0.9627,0.7959,1.0484,1.0607,1.4663
4,0.834,1.1176,0.8978,0.9627,0.7959,1.0484,1.0607,1.4663
5,0.834,1.1176,0.8978,0.9627,0.7959,1.0484,1.0607,1.4663
6,0.8921,1.2069,0.8978,0.9187,0.97,1.0217,0.8455,1.5956
7,0.8921,1.2069,0.8383,0.9187,0.97,1.0217,0.8455,1.5956
8,0.8921,1.2069,0.8383,0.9187,0.97,1.0217,0.8455,1.5956
9,0.681,0.9984,0.8383,0.8864,0.97,0.907,0.9751,1.5956
10,0.681,0.9984,1.0172,0.8864,0.9702,0.907,0.9751,1.5401
11,0.681,0.9984,1.0172,0.8864,0.9702,0.907,0.9751,1.5401
12,0.681,0.9984,1.0172,1.1316,0.9702,1.0572,1.0286,1.5401
13,0.8463,0.8551,1.0172,1.1316,0.9196,1.0572,1.0286,1.4646
14,0.8463,0.8551,1.0367,1.1316,0.9196,1.0572,1.0286,1.4646
15,0.8463,0.8551,1.0367,0.721,0.9196,0.8245,1.0286,1.4646
16,0.8459,1.0752,1.0367,0.721,0.9442,0.8245,1.0612,1.6411
17,0.8459,1.0752,0.9613,0.721,0.9442,0.8245,1.0612,1.6411
18,0.8459,1.0752,0.9613,1.0571,0.9442,1.1251,1.0612,1.6411
19,0.845,0.7888,0.9613,1.0571,0.9546,1.1251,0.9174,1.5689
20,0.845,0.7888,0.9613,1.0571,0.9546,1.1251,0.9174,1.5689
21,0.845,0.7888,0.8817,0.8845,0.9546,1.2413,0.9174,1.5689
22,0.6925,0.9421,0.8817,0.8845,0.9705,1.2413,0.906,1.5689
23,0.6925,0.9421,0.8817,0.8845,0.9705,1.2413,0.906,1.6933
24,0.6925,0.9421,0.743,0.9943,0.9705,0.9471,0.906,1.6933
