time,route1,route2,route3,route4,route5,route6,route7,route8
1,1.1108,0.9168,1.3905,1.0109,0.9889,1.2552,1.0487,1.2138
2,1.1108,0.9168,1.3905,1.0109,0.9889,1.2552,1.0487,1.2138
3,1.1108,1.0108,1.3833,1.0293,1.0091,1.2619,1.0684,1.2257
4,1.1108,1.0108,1.3833,1.0293,1.0091,1.2619,1.0684,1.2257
5,1.1108,1.0108,1.3833,1.0293,1.0091,1.2619,1.0684,1.2257
6,1.1306,1.031,1.3833,1.0261,1.0109,1.2756,1.0779,1.2463
7,1.1306,1.031,1.3858,1.0261,1.0109,1.2756,1.0779,1.2463
8,1.1306,1.031,1.3858,1.0261,1.0109,1.2756,1.0779,1.2463
9,1.1485,1.0265,1.3858,1.04,1.0109,1.2942,1.1012,1.2463
10,1.1485,1.0265,1.3874,1.04,1.0222,1.2942,1.1012,1.2571
11,1.1485,1.0265,1.3874,1.04,1.0222,1.2942,1.1012,1.2571
12,1.1485,1.0265,1.3874,1.0501,1.0222,1.3092,1.1126,1.2571
13,1.1609,1.0178,1.3874,1.0501,1.0415,1.3092,1.1126,1.2708
14,1.1609,1.0178,1.3819,1.0501,1.0415,1.3092,1.1126,1.2708
15,1.1609,1.0178,1.3819,1.0498,1.0415,1.3048,1.1126,1.2708
16,1.1582,1.017,1.3819,1.0498,1.0661,1.3048,1.124,1.2777
17,1.1582,1.017,1.3955,1.0498,1.0661,1.3048,1.124,1.2777
18,1.1582,1.017,1.3955,1.0777,1.0661,1.2959,1.124,1.2777
19,1.1615,1.0096,1.3955,1.0777,1.061,1.2959,1.1285,1.283
20,1.1615,1.0096,1.3955,1.0777,1.061,1.2959,1.1285,1.283
21,1.1615,1.0096,1.376,1.0677,1.061,1.3053,1.1285,1.283
22,1.1689,1.0219,1.376,1.0677,1.0753,1.3053,1.1312,1.283
23,1.1689,1.0219,1.376,1.0677,1.0753,1.3053,1.1312,1.2953
24,1.1689,1.0219,1.3804,1.071,1.0753,1.272,1.1312,1.2953
25,1.1771,1.0316,1.3804,1.071,1.0753,1.272,1.1291,1.2953
26,1.1771,1.0316,1.3804,1.071,1.0616,1.272,1.1291,1.3004
27,1.1771,1.0316,1.3804,1.0503,1.0616,1.2585,1.1291,1.3004
28,1.1763,1.0316,1.3904,1.0503,1.0616,1.2585,1.1453,1.3004
29,1.1763,1.0365,1.3904,1.0503,1.0841,1.2585,1.1453,1.3162
30,1.1763,1.0365,1.3904,1.0699,1.0841,1.2585,1.1453,1.3162
31,1.1874,1.0365,1.3894,1.0699,1.0841,1.2318,1.1605,1.3162
32,1.1874,1.0479,1.3894,1.0879,1.0852,1.2318,1.1605,1.3373
33,1.1874,1.0479,1.3894,1.0879,1.0852,1.2318,1.1605,1.3373
34,1.1874,1.0479,1.3894,1.0879,1.0852,1.2545,1.1679,1.3373
35,1.198,1.0478,1.396,1.093,1.0884,1.2545,1.1679,1.3436
36,1.198,1.0478,1.396,1.093,1.0884,1.2545,1.1679,1.3436
37,1.198,1.0478,1.396,1.093,1.0884,1.2623,1.1776,1.3436
38,1.1957,1.0338,1.4188,1.0586,1.0884,1.2623,1.1776,1.3436
39,1.1957,1.0338,1.4188,1.0586,1.0877,1.2623,1.1776,1.3473
40,1.1957,1.0338,1.4188,1.0586,1.0877,1.2729,1.1776,1.3473
41,1.192,1.0527,1.4188,1.0226,1.0877,1.2729,1.2011,1.3473
42,1.192,1.0527,1.4274,1.0226,1.1101,1.2729,1.2011,1.3623
43,1.19E+00,1.0527,1.4274,1.0226,1.1101,1.2836,1.2011,1.3623
44,1.2315,1.0604,1.4274,1.0223,1.1101,1.2836,1.2173,1.3623
45,1.2315,1.0604,1.4274,1.0223,1.1461,1.2836,1.2173,1.372
46,1.2315,1.0604,1.4515,1.0223,1.1461,1.2959,1.2173,1.372
47,1.2514,1.0604,1.4515,1.016,1.1461,1.2959,1.2283,1.372
48,1.2514,1.067,1.4515,1.016,1.157,1.2959,1.2283,1.3869
49,1.2514,1.067,1.4545,1.016,1.157,1.3289,1.2283,1.3869
50,1.2515,1.067,1.4545,1.0166,1.157,1.3289,1.2389,1.3869
51,1.2515,1.0836,1.4545,1.0166,1.1523,1.3289,1.2389,1.3869
52,1.2515,1.0836,1.4545,1.0166,1.1523,1.3492,1.2389,1.3912
53,1.2599,1.0836,1.4561,1.0488,1.1523,1.3492,1.238,1.3912
54,1.2599,1.0868,1.4561,1.0488,1.1523,1.3492,1.238,1.3912
55,1.2599,1.0868,1.4561,1.0488,1.1549,1.3463,1.238,1.3963
56,1.2599,1.0868,1.4663,1.0668,1.1549,1.3463,1.2504,1.3963
57,1.265,1.094,1.4663,1.0668,1.1549,1.3463,1.2504,1.3963
58,1.265,1.094,1.4663,1.0668,1.1819,1.367,1.2504,1.408
59,1.265,1.094,1.4663,1.0949,1.1819,1.367,1.2761,1.408
60,1.2692,1.0979,1.4763,1.0949,1.1819,1.367,1.2761,1.408
61,1.2692,1.0979,1.4763,1.0949,1.1987,1.3731,1.2761,1.4227
62,1.2692,1.0979,1.4763,1.1045,1.1987,1.3731,1.2896,1.4227
63,1.2539,1.0979,1.479,1.1045,1.1987,1.3731,1.2896,1.4227
64,1.2539,1.0973,1.479,1.1045,1.1951,1.371,1.2896,1.4227
65,1.2539,1.0973,1.479,1.0962,1.1951,1.371,1.2896,1.4296
66,1.2313,1.0973,1.479,1.0962,1.1951,1.371,1.2922,1.4296
67,1.2313,1.095,1.489,1.0962,1.1951,1.3833,1.2922,1.4296
68,1.2313,1.095,1.489,1.1016,1.22,1.3833,1.2922,1.4346
69,1.2247,1.095,1.489,1.1016,1.22,1.3833,1.3061,1.4346
70,1.2247,1.1032,1.5057,1.1016,1.22,1.385,1.3061,1.4346
71,1.2247,1.1032,1.5057,1.1261,1.2247,1.385,1.3061,1.4491
72,1.2591,1.1032,1.5057,1.1261,1.2247,1.385,1.3149,1.4491
73,1.2591,1.085,1.5057,1.1261,1.2247,1.4005,1.3149,1.4491
74,1.2591,1.085,1.5081,1.1589,1.2258,1.4005,1.3149,1.4614
75,1.2697,1.085,1.5081,1.1589,1.2258,1.4005,1.317,1.4614
76,1.2697,1.0828,1.5081,1.1589,1.2258,1.3979,1.317,1.4614
77,1.2697,1.0828,1.5155,1.1763,1.2531,1.3979,1.317,1.4614
78,1.2697,1.0828,1.5155,1.1763,1.2531,1.3979,1.3267,1.4606
79,1.2625,1.0828,1.5155,1.1763,1.2531,1.4112,1.3267,1.4606
80,1.2625,1.0677,1.5155,1.1868,1.2531,1.4112,1.3267,1.4606
81,1.2625,1.0677,1.5217,1.1868,1.2651,1.4112,1.3348,1.469
82,1.2256,1.0677,1.5217,1.1868,1.2651,1.4112,1.3348,1.469
83,1.2256,1.0502,1.5217,1.2028,1.2651,1.43,1.3348,1.469
84,1.2256,1.0502,1.5234,1.2028,1.2768,1.43,1.3393,1.4766
85,1.2407,1.0502,1.5234,1.2028,1.2768,1.43,1.3393,1.4766
86,1.2407,1.0667,1.5234,1.1921,1.2768,1.4462,1.3393,1.4766
87,1.2407,1.0667,1.5234,1.1921,1.2848,1.4462,1.3484,1.4941
88,1.241,1.0667,1.5197,1.1921,1.2848,1.4462,1.3484,1.4941
89,1.241,1.0687,1.5197,1.1914,1.2848,1.4542,1.3484,1.4941
90,1.241,1.0687,1.5197,1.1914,1.2914,1.4542,1.3484,1.4968
